lat,lng,alt
42.5336743451, -83.1198363191, 196.701059024
42.5336747696, -83.1198366284, 196.701156211
42.5336745388, -83.1198360521, 196.70122614
42.5336745508, -83.1198361586, 196.703574773
42.5336756997, -83.1198358433, 196.711251586
42.53367608, -83.119835672, 196.728708835
42.5336767496, -83.1198351733, 196.877337774
42.533677231, -83.1198351334, 197.001545431
42.533678203, -83.1198343247, 197.228979431
42.533682159, -83.1198341619, 197.286455165
42.5336961735, -83.1198331568, 197.243716653
42.5337259328, -83.1198298851, 197.363281789
42.5337670171, -83.1198186681, 197.342721449
42.5338106788, -83.1197846818, 197.349808148
42.5338430825, -83.1197200812, 197.477041962
42.5338516572, -83.1196339907, 197.444735318
42.5338433005, -83.1195391035, 197.556104849
42.5338325758, -83.119435928, 197.642498537
42.5338246022, -83.1193228232, 197.587063519
42.533820473, -83.1192072631, 197.430249116
42.533819108, -83.1190960648, 197.31114727
42.5338210848, -83.1189896479, 197.207468097
42.5338243776, -83.1188884011, 197.110340389
42.5338274701, -83.118802064, 197.021969834
42.5338293517, -83.1187312723, 197.054441405
42.5338288571, -83.1186723245, 196.934684042
42.5338267643, -83.11862461, 196.951586343
42.5338243939, -83.1185875278, 196.818794586
42.5338227964, -83.1185665139, 196.709077685
42.5338216365, -83.1185544298, 196.609253077
42.5338211241, -83.1185522609, 196.519433129
42.5338205216, -83.1185445767, 196.547684471
42.5338185588, -83.1185285178, 196.416465825
42.5338151665, -83.1185098806, 196.301726862
42.5338121234, -83.1184986203, 196.192483822
42.5338120133, -83.118497681, 195.98080708
42.5338134817, -83.1185021625, 196.055417316
42.5338142078, -83.1185038744, 196.0782808
42.5338148894, -83.1185044572, 196.077194647
42.5338154871, -83.1185042526, 195.951107984
42.533816368, -83.118505106, 195.979930319
42.533816717, -83.1185050077, 195.986207965
42.5338165809, -83.1185054863, 195.977573974
42.5338162155, -83.1185058725, 195.84508123
42.5338164523, -83.1185064649, 195.862134754
42.5338165273, -83.1185070112, 195.738177439
42.5338166696, -83.1185071198, 195.755144879
42.5338167515, -83.1185068413, 195.624100091
42.5338171484, -83.1185061207, 195.518922891
42.5338164955, -83.1185034461, 195.431520324
42.5338151499, -83.1184975605, 195.476887505
42.5338120713, -83.1184876748, 195.4951043
42.533804975, -83.1184660096, 195.501755991
42.5337894277, -83.1184283969, 195.498839889
42.5337569077, -83.1183868527, 195.477183345
